	compound	original_molecule	standardized_molecule	standardized_molecule_InchiKey	properties_log
43	14136859	C/C=C/1\[C@@H](C(=CO[C@H]1O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)C(=O)OC)CC(=O)OCCC3=CC=C(C=C3)O	C/C=C1/[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)OC)[C@H]1CC(=O)OCCc1ccc(O)cc1	GMQXOLRKJQWPNB-MVVLSVRYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
44	17750970	COC1=C(C=CC(=C1)[C@@H]2[C@H]3COC([C@H]3CO2)C4=CC(=C(C=C4)O)OC)O	COc1cc(C2OC[C@@H]3[C@@H](c4ccc(O)c(OC)c4)OC[C@H]23)ccc1O	HGXBRUKMWQGOIE-USWSZDBUSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
45	5280443	C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O	O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12	KZNIFHPLKGYRTM-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
46	5281761	C1=CC(=C(C=C1/C=C/C(=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O	O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	WQSDYZZEIBAPIN-VBQORRLJSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
47	637584	COC1=C(C=CC(=C1)[C@H]2[C@H]3CO[C@@H]([C@H]3CO2)C4=CC(=C(C=C4)O)OC)O	COc1cc([C@H]2OC[C@@H]3[C@H](c4ccc(O)c(OC)c4)OC[C@H]23)ccc1O	HGXBRUKMWQGOIE-WZBLMQSHSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
48	102016333	COC(=O)C1=CO[C@H](C([C@@H]1CC(=O)OCCC2=CC(=C(C=C2)O)O)C=C)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O	C=CC1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)OC)[C@H]1CC(=O)OCCc1ccc(O)c(O)c1	WWKVQWHAWPZZDB-MMCPGMSHSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
49	439514	COC1=C(C=C2C(=C1)C=CC(=O)O2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O	COc1cc2ccc(=O)oc2cc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	SGTCGCCQZOUMJJ-YMILTQATSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
50	3010930	COC1=C(C=CC(=C1)[C@@H]2[C@H]3CO[C@@H]([C@]3(CO2)O)C4=CC(=C(C=C4)O)OC)O	COc1cc([C@H]2OC[C@]3(O)[C@@H](c4ccc(O)c(OC)c4)OC[C@H]23)ccc1O	CICMVLOHBZPXIT-WNISUXOKSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
51	5317284	COC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC(=C(C=C3)O)O)O	COc1c(O)cc2oc(-c3ccc(O)c(O)c3)cc(=O)c2c1O	FHHSEFRSDKWJKJ-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
52	439155	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CSCC[C@@H](C(=O)O)N)O)O)N	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O	ZJUKTBDSGOFHSH-WFMPWKQPSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
53	5281417	C1=CC(=O)OC2=CC(=C(C=C21)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O	O=c1ccc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc2o1	XHCADAYNFIFUHF-TVKJYDDYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
54	72281	COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O	COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O	AIONOLUJZLIMTK-AWEZNQCLSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
55	128861	C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O)O	Oc1cc(O)c2cc(O)c(-c3ccc(O)c(O)c3)[o+]c2c1	VEVZSMAEJFVWIL-UHFFFAOYSA-O	Molecule correct. Molecular properties (MW,NR) within standard limits
56	101109285	C[C@H]1[C@H]([C@@H](C(=CO1)C(=O)OC)C(=O)OCCC2=CC(=C(C=C2)O)O)C=O	COC(=O)C1=CO[C@@H](C)[C@@H](C=O)[C@@H]1C(=O)OCCc1ccc(O)c(O)c1	AZCKTGHZOSZOAM-IETSOEAISA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
57	6476722	C/C=C\1/[C@@H](C(=CO[C@H]1OC2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)C(=O)OC)CC(=O)OC	C/C=C1\[C@H](OC2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)OC)[C@H]1CC(=O)OC	KYVUMEGNMQDSHO-VQQRNZRFSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
58	101042548	C/C=C/1\[C@@H](C(=CO[C@H]1O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)C(=O)O)CC(=O)O	C/C=C1/[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)O)[C@H]1CC(=O)O	PNMNSRMFRJNZFD-IPEIANHJSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
